ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300604.SZ,20260609,207.22,213.99,203.2,212.73,200.4,12.33,6.1527,214970.54,4507630.94724
300604.SZ,20260610,212.5,232.85,210.79,226.74,212.73,14.01,6.5858,363042.4,8189959.40106
300604.SZ,20260611,229.0,234.27,225.01,232.84,226.74,6.1,2.6903,292253.74,6725441.89926
300604.SZ,20260612,247.1,253.38,223.12,223.12,232.84,-9.72,-4.1745,375510.28,8947298.84222
300604.SZ,20260615,230.0,232.5,220.18,231.45,223.12,8.33,3.7334,233135.37,5339289.28226
300604.SZ,20260616,231.5,243.49,229.5,240.4,231.45,8.95,3.8669,238415.24,5663077.205
300604.SZ,20260617,236.0,265.0,236.0,264.01,240.4,23.61,9.8211,313187.95,7877377.08515
300604.SZ,20260618,263.0,271.21,261.56,264.1,264.01,0.09,0.0341,220181.4,5840972.98433
300604.SZ,20260622,267.0,268.95,254.72,268.49,264.1,4.39,1.6622,246640.14,6470814.69612
300604.SZ,20260623,269.98,294.97,268.78,279.4,268.49,10.91,4.0635,455450.97,12701921.7475
300604.SZ,20260624,275.26,314.63,272.68,307.35,279.4,27.95,10.0036,405480.51,11868736.3061
300604.SZ,20260625,310.01,316.5,298.9,309.99,307.35,2.64,0.859,324228.87,9958511.37623
300604.SZ,20260626,311.0,332.0,310.95,314.9,309.99,4.91,1.5839,351553.74,11288282.2367
300604.SZ,20260629,318.0,338.0,311.03,337.9,314.9,23.0,7.3039,356786.9,11694486.9372
300604.SZ,20260630,331.0,345.43,324.0,341.42,337.9,3.52,1.0417,280997.42,9456545.57946
300604.SZ,20260701,349.91,363.58,325.0,333.67,341.42,-7.75,-2.2699,324025.61,11190942.1753
300604.SZ,20260702,316.99,329.99,297.99,301.46,333.67,-32.21,-9.6533,395246.82,12372749.8991
300604.SZ,20260703,300.0,313.21,286.0,302.71,301.46,1.25,0.4146,342749.92,10268910.5496
300604.SZ,20260706,307.46,313.5,289.99,304.0,302.71,1.29,0.4262,262994.21,7952964.5016
300604.SZ,20260707,298.0,311.88,295.66,304.33,304.0,0.33,0.1086,202766.89,6151253.40908
300604.SZ,20260708,305.02,332.18,287.59,317.22,304.33,12.89,4.2355,311328.47,9707940.98471
300604.SZ,20260709,325.0,375.18,310.49,374.0,317.22,56.78,17.8992,397850.2,13456200.988
300604.SZ,20260710,379.6,395.0,349.18,352.31,374.0,-21.69,-5.7995,387162.35,14616432.9876
300604.SZ,20260713,352.13,358.88,320.15,325.24,352.31,-27.07,-7.6836,351625.11,11922819.5463
300604.SZ,20260714,332.0,341.5,312.01,335.62,325.24,10.38,3.1915,336844.69,11101954.8791
300604.SZ,20260715,344.0,344.02,303.0,304.44,335.62,-31.18,-9.2903,343575.35,10787215.944
300604.SZ,20260716,303.05,309.97,288.0,293.13,304.44,-11.31,-3.715,254961.52,7572872.63415
300604.SZ,20260717,291.89,297.0,273.57,278.76,293.13,-14.37,-4.9023,330970.04,9459544.56262
300604.SZ,20260720,288.99,296.66,253.01,265.0,278.76,-13.76,-4.9361,362408.45,9930692.55295
300604.SZ,20260721,275.0,318.0,259.0,318.0,265.0,53.0,20.0,414816.77,12047998.2809
300604.SZ,20260722,313.47,329.78,308.0,309.05,318.0,-8.95,-2.8145,375620.46,11890881.9066
300604.SZ,20260723,309.28,313.0,286.0,291.24,309.05,-17.81,-5.7628,286685.62,8465943.73652
300604.SZ,20260724,285.42,310.28,282.39,303.5,291.24,12.26,4.2096,292968.26,8803806.5175
300604.SZ,20260727,301.88,312.14,284.01,304.7,303.5,1.2,0.3954,280362.47,8384316.79479
300604.SZ,20260728,294.0,302.29,274.0,276.4,304.7,-28.3,-9.2878,272718.24,7819032.68109
300604.SZ,20260729,279.0,286.0,249.0,271.0,276.4,-5.4,-1.9537,341025.19,9116829.58958
300604.SZ,20260730,270.01,278.0,243.95,245.5,271.0,-25.5,-9.4096,347426.39,8969833.16111
300604.SZ,20260731,277.62,283.54,259.18,259.64,245.5,14.14,5.7597,349730.12,9557081.78043
300604.SZ,20260803,255.06,257.98,226.38,227.42,259.64,-32.22,-12.4095,357913.1,8428104.34025
300604.SZ,20260804,228.59,249.98,224.25,245.82,227.42,18.4,8.0908,299847.22,7228112.16424
